"Data Table: Acute myocardial infarction, Crude incidence rate, per 100,000"

"Geography","Sex","Age group type","Age group","Fiscal year","Rate (per 100,000)","Standard Error","Lower 95%_CI","Upper 95%_CI","Rate CV (%)","Counts","Population",
"Newfoundland and Labrador","Both sexes","Total","20+","2017–2018","323","8.67","306","340","2.69","1385","429100",
"Newfoundland and Labrador","Females","Total","20+","2017–2018","235","10.29","215","256","4.39","520","221715",
"Newfoundland and Labrador","Males","Total","20+","2017–2018","415","14.14","387","443","3.41","860","207380",
"Newfoundland and Labrador","Both sexes","Total","20+","2018–2019","321","8.65","304","338","2.70","1375","428530",
"Newfoundland and Labrador","Females","Total","20+","2018–2019","210","9.74","191","230","4.64","465","221485",
"Newfoundland and Labrador","Males","Total","20+","2018–2019","440","14.57","411","469","3.31","910","207045",
"Newfoundland and Labrador","Both sexes","Total","20+","2019–2020","297","8.32","281","314","2.80","1275","429375",
"Newfoundland and Labrador","Females","Total","20+","2019–2020","216","9.87","197","237","4.56","480","221955",
"Newfoundland and Labrador","Males","Total","20+","2019–2020","386","13.64","359","413","3.54","800","207430",
"Newfoundland and Labrador","Both sexes","Total","20+","2020–2021*","293","8.27","278","310","2.82","1260","429315",
"Newfoundland and Labrador","Females","Total","20+","2020–2021*","207","9.66","189","227","4.66","460","221950",
"Newfoundland and Labrador","Males","Total","20+","2020–2021*","386","13.64","360","413","3.54","800","207360",
"Newfoundland and Labrador","Both sexes","Total","20+","2021–2022*","300","8.33","284","317","2.77","1300","433100",
"Newfoundland and Labrador","Females","Total","20+","2021–2022*","212","9.75","194","232","4.59","475","223535",
"Newfoundland and Labrador","Males","Total","20+","2021–2022*","394","13.71","367","421","3.48","825","209565",
"Newfoundland and Labrador","Both sexes","Total","20+","2022–2023*","301","8.29","285","318","2.75","1320","438445",
"Newfoundland and Labrador","Females","Total","20+","2022–2023*","223","9.93","204","243","4.45","505","226375",
"Newfoundland and Labrador","Males","Total","20+","2022–2023*","384","13.46","358","412","3.50","815","212070",
"Prince Edward Island","Both sexes","Total","20+","2000–2001","317","17.45","284","353","5.50","330","104125",
"Prince Edward Island","Females","Total","20+","2000–2001","252","21.65","211","298","8.61","135","53670",
"Prince Edward Island","Males","Total","20+","2000–2001","396","28.03","343","455","7.07","200","50455",
"Prince Edward Island","Both sexes","Total","20+","2001–2002","326","17.67","292","362","5.42","340","104330",
"Prince Edward Island","Females","Total","20+","2001–2002","232","20.73","193","276","8.94","125","53945",
"Prince Edward Island","Males","Total","20+","2001–2002","427","29.10","372","488","6.82","215","50385",
"Prince Edward Island","Both sexes","Total","20+","2002–2003","287","16.55","255","321","5.77","300","104655",
"Prince Edward Island","Females","Total","20+","2002–2003","221","20.21","184","265","9.13","120","54195",
"Prince Edward Island","Males","Total","20+","2002–2003","347","26.22","297","402","7.56","175","50455",
"Prince Edward Island","Both sexes","Total","20+","2003–2004","302","16.86","269","336","5.59","320","106130",
"Prince Edward Island","Females","Total","20+","2003–2004","191","18.64","156","231","9.76","105","54985",
"Prince Edward Island","Males","Total","20+","2003–2004","430","29.00","375","491","6.74","220","51145",
"Prince Edward Island","Both sexes","Total","20+","2004–2005","271","15.92","241","304","5.87","290","106995",
"Prince Edward Island","Females","Total","20+","2004–2005","189","18.46","155","229","9.76","105","55510",
"Prince Edward Island","Males","Total","20+","2004–2005","359","26.42","309","415","7.35","185","51485",
"Prince Edward Island","Both sexes","Total","20+","2005–2006","283","16.23","252","317","5.73","305","107635",
"Prince Edward Island","Females","Total","20+","2005–2006","206","19.22","170","247","9.33","115","55805",
"Prince Edward Island","Males","Total","20+","2005–2006","357","26.25","307","412","7.35","185","51825",
"Prince Edward Island","Both sexes","Total","20+","2006–2007","253","15.28","224","285","6.03","275","108510",
"Prince Edward Island","Females","Total","20+","2006–2007","196","18.65","161","236","9.53","110","56250",
"Prince Edward Island","Males","Total","20+","2006–2007","316","24.58","269","368","7.78","165","52260",
"Prince Edward Island","Both sexes","Total","20+","2007–2008","341","17.63","308","378","5.16","375","109845",
"Prince Edward Island","Females","Total","20+","2007–2008","246","20.77","207","290","8.45","140","56970",
"Prince Edward Island","Males","Total","20+","2007–2008","435","28.69","381","495","6.59","230","52870",
"Prince Edward Island","Both sexes","Total","20+","2008–2009","313","16.71","281","347","5.35","350","111990",
"Prince Edward Island","Females","Total","20+","2008–2009","232","20.00","195","275","8.61","135","58085",
"Prince Edward Island","Males","Total","20+","2008–2009","399","27.20","347","456","6.82","215","53910",
"Prince Edward Island","Both sexes","Total","20+","2009–2010","295","16.13","264","329","5.46","335","113460",
"Prince Edward Island","Females","Total","20+","2009–2010","221","19.39","185","263","8.77","130","58790",
"Prince Edward Island","Males","Total","20+","2009–2010","375","26.19","325","430","6.98","205","54675",
"Prince Edward Island","Both sexes","Total","20+","2010–2011","339","17.16","306","374","5.06","390","115080",
"Prince Edward Island","Females","Total","20+","2010–2011","234","19.80","197","276","8.45","140","59750",
"Prince Edward Island","Males","Total","20+","2010–2011","461","28.86","406","521","6.26","255","55340",
"Prince Edward Island","Both sexes","Total","20+","2011–2012","309","16.27","278","342","5.27","360","116590",
"Prince Edward Island","Females","Total","20+","2011–2012","215","18.85","180","255","8.77","130","60495",
"Prince Edward Island","Males","Total","20+","2011–2012","410","27.03","359","467","6.59","230","56100",
"Prince Edward Island","Both sexes","Total","20+","2012–2013","267","15.04","238","298","5.63","315","117990",
"Prince Edward Island","Females","Total","20+","2012–2013","180","17.12","148","216","9.53","110","61250",
"Prince Edward Island","Males","Total","20+","2012–2013","361","25.23","314","414","6.98","205","56740",
"Prince Edward Island","Both sexes","Total","20+","2013–2014","269","15.05","241","300","5.59","320","118850",
"Prince Edward Island","Females","Total","20+","2013–2014","203","18.15","169","242","8.94","125","61615",
"Prince Edward Island","Males","Total","20+","2013–2014","341","24.40","295","392","7.16","195","57240",
"Prince Edward Island","Both sexes","Total","20+","2014–2015","285","15.45","255","317","5.42","340","119325",
"Prince Edward Island","Females","Total","20+","2014–2015","178","16.95","146","214","9.53","110","61895",
"Prince Edward Island","Males","Total","20+","2014–2015","401","26.41","350","456","6.59","230","57425",
"Prince Edward Island","Both sexes","Total","20+","2015–2016","272","15.09","243","303","5.55","325","119470",
"Prince Edward Island","Females","Total","20+","2015–2016","209","18.37","175","249","8.77","130","62055",
"Prince Edward Island","Males","Total","20+","2015–2016","348","24.63","302","400","7.07","200","57420",
"Prince Edward Island","Both sexes","Total","20+","2016–2017","286","15.37","256","317","5.38","345","120830",
"Prince Edward Island","Females","Total","20+","2016–2017","199","17.84","166","238","8.94","125","62665",
"Prince Edward Island","Males","Total","20+","2016–2017","378","25.50","330","432","6.74","220","58160",
"Prince Edward Island","Both sexes","Total","20+","2017–2018","277","15.00","248","308","5.42","340","122945",
"Prince Edward Island","Females","Total","20+","2017–2018","188","17.19","156","225","9.13","120","63720",
"Prince Edward Island","Males","Total","20+","2017–2018","380","25.33","332","433","6.67","225","59230",
"Prince Edward Island","Both sexes","Total","20+","2018–2019","295","15.32","265","326","5.20","370","125585",
"Prince Edward Island","Females","Total","20+","2018–2019","200","17.56","167","238","8.77","130","64945",
"Prince Edward Island","Males","Total","20+","2018–2019","396","25.55","347","449","6.45","240","60640",
"Prince Edward Island","Both sexes","Total","20+","2019–2020","231","13.37","206","259","5.77","300","129590",
"Prince Edward Island","Females","Total","20+","2019–2020","187","16.71","155","223","8.94","125","66915",
"Prince Edward Island","Males","Total","20+","2019–2020","287","21.40","247","332","7.45","180","62680",
"Prince Edward Island","Both sexes","Total","20+","2020–2021*","239","13.49","214","267","5.63","315","131570",
"Prince Edward Island","Females","Total","20+","2020–2021*","192","16.81","160","228","8.77","130","67810",
"Prince Edward Island","Males","Total","20+","2020–2021*","282","21.04","243","327","7.45","180","63755",
"Prince Edward Island","Both sexes","Total","20+","2021–2022*","256","13.81","230","285","5.38","345","134505",
"Prince Edward Island","Females","Total","20+","2021–2022*","173","15.77","143","207","9.13","120","69450",
"Prince Edward Island","Males","Total","20+","2021–2022*","338","22.80","295","386","6.74","220","65050",
"Prince Edward Island","Both sexes","Total","20+","2022–2023*","242","13.21","217","269","5.46","335","138570",
"Prince Edward Island","Females","Total","20+","2022–2023*","175","15.63","145","208","8.94","125","71550",
"Prince Edward Island","Males","Total","20+","2022–2023*","313","21.62","272","359","6.90","210","67025",
"Nova Scotia","Both sexes","Total","20+","2000–2001","296","6.42","284","309","2.17","2125","717530",
"Nova Scotia","Females","Total","20+","2000–2001","228","7.78","213","243","3.42","855","375640",
"Nova Scotia","Males","Total","20+","2000–2001","373","10.44","353","394","2.80","1275","341895",
"Nova Scotia","Both sexes","Total","20+","2001–2002","305","6.50","293","318","2.13","2205","721895",
"Nova Scotia","Females","Total","20+","2001–2002","226","7.74","211","242","3.42","855","377765",
"Nova Scotia","Males","Total","20+","2001–2002","392","10.68","372","414","2.72","1350","344130",
