"Data Table: Ischemic heart disease, Crude incidence rate, per 100,000"

"Geography","Sex","Age group type","Age group","Fiscal year","Rate (per 100,000)","Standard Error","Lower 95%_CI","Upper 95%_CI","Rate CV (%)","Counts","Population",
"Newfoundland and Labrador","Males","Total","20+","2013–2014","741","19.46","703","780","2.63","1450","195645",
"Newfoundland and Labrador","Both sexes","Total","20+","2014–2015","562","11.77","539","585","2.09","2280","405860",
"Newfoundland and Labrador","Females","Total","20+","2014–2015","396","13.71","370","424","3.46","835","210730",
"Newfoundland and Labrador","Males","Total","20+","2014–2015","741","19.48","703","780","2.63","1445","195135",
"Newfoundland and Labrador","Both sexes","Total","20+","2015–2016","609","12.28","586","634","2.01","2465","404460",
"Newfoundland and Labrador","Females","Total","20+","2015–2016","484","15.16","455","515","3.13","1020","210635",
"Newfoundland and Labrador","Males","Total","20+","2015–2016","748","19.65","710","788","2.63","1450","193830",
"Newfoundland and Labrador","Both sexes","Total","20+","2016–2017","643","12.57","619","668","1.96","2615","406670",
"Newfoundland and Labrador","Females","Total","20+","2016–2017","486","15.16","457","517","3.12","1030","211760",
"Newfoundland and Labrador","Males","Total","20+","2016–2017","816","20.46","776","857","2.51","1590","194915",
"Newfoundland and Labrador","Both sexes","Total","20+","2017–2018","597","12.16","574","622","2.03","2415","404295",
"Newfoundland and Labrador","Females","Total","20+","2017–2018","455","14.68","427","485","3.23","960","211070",
"Newfoundland and Labrador","Males","Total","20+","2017–2018","753","19.74","715","793","2.62","1455","193220",
"Newfoundland and Labrador","Both sexes","Total","20+","2018–2019","680","12.97","655","706","1.91","2745","403805",
"Newfoundland and Labrador","Females","Total","20+","2018–2019","519","15.69","489","551","3.02","1095","210920",
"Newfoundland and Labrador","Males","Total","20+","2018–2019","861","21.12","820","903","2.45","1660","192895",
"Newfoundland and Labrador","Both sexes","Total","20+","2019–2020","634","12.53","610","659","1.97","2565","404335",
"Newfoundland and Labrador","Females","Total","20+","2019–2020","483","15.12","454","513","3.13","1020","211250",
"Newfoundland and Labrador","Males","Total","20+","2019–2020","803","20.39","763","844","2.54","1550","193085",
"Newfoundland and Labrador","Both sexes","Total","20+","2020–2021*","572","11.89","549","595","2.08","2310","404140",
"Newfoundland and Labrador","Females","Total","20+","2020–2021*","419","14.08","392","448","3.36","885","211220",
"Newfoundland and Labrador","Males","Total","20+","2020–2021*","739","19.57","701","778","2.65","1425","192915",
"Newfoundland and Labrador","Both sexes","Total","20+","2021–2022*","598","12.11","575","622","2.02","2440","407985",
"Newfoundland and Labrador","Females","Total","20+","2021–2022*","456","14.63","427","485","3.21","970","212890",
"Newfoundland and Labrador","Males","Total","20+","2021–2022*","756","19.69","718","796","2.60","1475","195100",
"Newfoundland and Labrador","Both sexes","Total","20+","2022–2023*","532","11.35","510","555","2.13","2200","413420",
"Newfoundland and Labrador","Females","Total","20+","2022–2023*","410","13.79","384","438","3.36","885","215805",
"Newfoundland and Labrador","Males","Total","20+","2022–2023*","665","18.35","630","702","2.76","1315","197615",
"Prince Edward Island","Both sexes","Total","20+","2000–2001","952","30.88","892","1014","3.24","950","99825",
"Prince Edward Island","Females","Total","20+","2000–2001","802","39.35","726","883","4.91","415","51765",
"Prince Edward Island","Males","Total","20+","2000–2001","1103","47.91","1011","1201","4.34","530","48055",
"Prince Edward Island","Both sexes","Total","20+","2001–2002","918","30.33","859","979","3.31","915","99725",
"Prince Edward Island","Females","Total","20+","2001–2002","761","38.29","688","840","5.03","395","51900",
"Prince Edward Island","Males","Total","20+","2001–2002","1087","47.68","996","1185","4.39","520","47825",
"Prince Edward Island","Both sexes","Total","20+","2002–2003","787","28.07","733","844","3.57","785","99800",
"Prince Edward Island","Females","Total","20+","2002–2003","711","36.97","640","787","5.20","370","52035",
"Prince Edward Island","Males","Total","20+","2002–2003","869","42.65","787","957","4.91","415","47765",
"Prince Edward Island","Both sexes","Total","20+","2003–2004","786","27.89","733","843","3.55","795","101095",
"Prince Edward Island","Females","Total","20+","2003–2004","635","34.72","569","707","5.46","335","52715",
"Prince Edward Island","Males","Total","20+","2003–2004","951","44.33","866","1042","4.66","460","48380",
"Prince Edward Island","Both sexes","Total","20+","2004–2005","771","27.52","718","827","3.57","785","101810",
"Prince Edward Island","Females","Total","20+","2004–2005","668","35.46","600","741","5.31","355","53140",
"Prince Edward Island","Males","Total","20+","2004–2005","884","42.61","802","971","4.82","430","48665",
"Prince Edward Island","Both sexes","Total","20+","2005–2006","768","27.39","715","823","3.57","785","102280",
"Prince Edward Island","Females","Total","20+","2005–2006","628","34.31","562","699","5.46","335","53350",
"Prince Edward Island","Males","Total","20+","2005–2006","930","43.59","846","1019","4.69","455","48935",
"Prince Edward Island","Both sexes","Total","20+","2006–2007","704","26.15","654","757","3.71","725","102980",
"Prince Edward Island","Females","Total","20+","2006–2007","586","33.04","523","655","5.63","315","53725",
"Prince Edward Island","Males","Total","20+","2006–2007","832","41.11","754","917","4.94","410","49260",
"Prince Edward Island","Both sexes","Total","20+","2007–2008","710","26.11","660","763","3.68","740","104205",
"Prince Edward Island","Females","Total","20+","2007–2008","607","33.39","543","676","5.50","330","54405",
"Prince Edward Island","Males","Total","20+","2007–2008","823","40.66","746","907","4.94","410","49795",
"Prince Edward Island","Both sexes","Total","20+","2008–2009","640","24.54","593","690","3.83","680","106250",
"Prince Edward Island","Females","Total","20+","2008–2009","505","30.17","447","568","5.98","280","55455",
"Prince Edward Island","Males","Total","20+","2008–2009","787","39.37","712","868","5.00","400","50800",
"Prince Edward Island","Both sexes","Total","20+","2009–2010","650","24.56","603","700","3.78","700","107705",
"Prince Edward Island","Females","Total","20+","2009–2010","507","30.06","450","570","5.92","285","56160",
"Prince Edward Island","Males","Total","20+","2009–2010","805","39.52","730","886","4.91","415","51545",
"Prince Edward Island","Both sexes","Total","20+","2010–2011","691","25.14","642","742","3.64","755","109280",
"Prince Edward Island","Females","Total","20+","2010–2011","543","30.83","484","607","5.68","310","57110",
"Prince Edward Island","Males","Total","20+","2010–2011","863","40.66","785","946","4.71","450","52170",
"Prince Edward Island","Both sexes","Total","20+","2011–2012","596","23.20","551","643","3.89","660","110725",
"Prince Edward Island","Females","Total","20+","2011–2012","450","27.88","397","508","6.20","260","57830",
"Prince Edward Island","Males","Total","20+","2011–2012","756","37.81","684","834","5.00","400","52895",
